LID , TYPE , CA , NP , PD
I:/Project/BHLU/ReclassTo3/FID_14/year_2015.img , cls_3 , 2383313.2620 ,   11207.0000 ,       0.0300
I:/Project/BHLU/ReclassTo3/FID_14/year_2015.img , cls_1 , 27603245.8857 ,    8232.0000 ,       0.0221
I:/Project/BHLU/ReclassTo3/FID_15/year_1992.img , cls_1 , 56495084.4484 ,    1947.0000 ,       0.0033
I:/Project/BHLU/ReclassTo3/FID_15/year_1992.img , cls_2 , 3306879.4106 ,   18764.0000 ,       0.0314
I:/Project/BHLU/ReclassTo3/FID_15/year_1992.img , cls_3 ,   41466.4896 ,     968.0000 ,       0.0016
I:/Project/BHLU/ReclassTo3/FID_15/year_2015.img , cls_1 , 56210715.3807 ,    2378.0000 ,       0.0040
I:/Project/BHLU/ReclassTo3/FID_15/year_2015.img , cls_2 , 3559801.2288 ,   19975.0000 ,       0.0334
I:/Project/BHLU/ReclassTo3/FID_15/year_2015.img , cls_3 ,   72913.7392 ,    1218.0000 ,       0.0020
I:/Project/BHLU/ReclassTo3/FID_16/year_1992.img , cls_1 , 43036165.2018 ,    2398.0000 ,       0.0052
I:/Project/BHLU/ReclassTo3/FID_16/year_1992.img , cls_2 , 2833559.9172 ,   10130.0000 ,       0.0220
I:/Project/BHLU/ReclassTo3/FID_16/year_1992.img , cls_3 ,   77224.2881 ,    1076.0000 ,       0.0023
I:/Project/BHLU/ReclassTo3/FID_16/year_2015.img , cls_1 , 42543521.5486 ,    2563.0000 ,       0.0056
I:/Project/BHLU/ReclassTo3/FID_16/year_2015.img , cls_2 , 3242582.7702 ,   11642.0000 ,       0.0253
I:/Project/BHLU/ReclassTo3/FID_16/year_2015.img , cls_3 ,  160845.0883 ,    1799.0000 ,       0.0039
I:/Project/BHLU/ReclassTo3/FID_17/year_1992.img , cls_2 , 3518710.6230 ,   21195.0000 ,       0.0780
I:/Project/BHLU/ReclassTo3/FID_17/year_1992.img , cls_1 , 23587156.9200 ,    2138.0000 ,       0.0079
I:/Project/BHLU/ReclassTo3/FID_17/year_1992.img , cls_3 ,   82599.3488 ,     939.0000 ,       0.0035
I:/Project/BHLU/ReclassTo3/FID_17/year_2015.img , cls_2 , 4100750.6041 ,   19663.0000 ,       0.0723
I:/Project/BHLU/ReclassTo3/FID_17/year_2015.img , cls_1 , 22895439.3833 ,    3213.0000 ,       0.0118
